Author,Year,Paper,Plots,Description,Link,Diagnostic,Facets,Facet_x,Facet_y,plot_type,x_axis,y_axis,color,shape,other_note,performance_criteria_bias,perfomance_criteria_MAE,performance_criteria_MSE/RMSE,performance_criteria_SE,performance_criteria_correlation,comparison_raw,comparison_truth,comparison_weight,comparison_MRP,comparison_other_study,comparison_other_method
Warshaw; Rodden,2012,How Should We Measure District-Level Public Opinion on Individual Issues?,Figure 1,Dot plot of performance of MRP vs Direct Estimates,,1,6,small area,performance criteria,dot plot,performance criteria,sample size,estimation methods,NA,NA,0,1,0,0,1,1,0,0,0,0,0
Warshaw; Rodden,2012,How Should We Measure District-Level Public Opinion on Individual Issues?,Figure 2,Cross Validation of MRP,,1,4,estimation methods,small area,scatter plot,estimates,truth,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0
Warshaw; Rodden,2012,How Should We Measure District-Level Public Opinion on Individual Issues?,Figure 3,Summary performance of MRP vs DE,,1,12,small area,case,dot plot,performance criteria,sample size,estimation methods,NA,NA,0,1,0,0,0,1,0,0,0,0,0
Warshaw; Rodden,2012,How Should We Measure District-Level Public Opinion on Individual Issues?,Figure 4,Cross validation of MRP,,1,8,estimation methods,small area,scatter plot,estimates,truth,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0
Warshaw; Rodden,2012,How Should We Measure District-Level Public Opinion on Individual Issues?,Figure 5,Summary performance of MRP vs DE,,1,6,case,case,dot plot,performance criteria,sample size,estimation methods,NA,NA,0,0,0,0,1,1,0,0,0,0,0
Warshaw; Rodden,2012,How Should We Measure District-Level Public Opinion on Individual Issues?,Figure 6,Correlation between estimates ,,1,6,case,case,dot plot,performance criteria,estimates,NA,NA,NA,0,0,0,0,1,1,1,0,1,0,0
Toshkov,2015,Exploring the Performance of Multilevel Modeling and Poststratification with Eurobarometer Data,Figure 1,Summary performance of MRP vs True,,1,1,NA,NA,dot plot with error bar,estimates,small area,estimation methods,NA,NA,0,0,0,0,0,1,0,0,0,0,0
Downes; Karlin,2020,Multilevel regression and poststratification for estimating population quantities from large health studies: a simulation study based on US population structure,Figure 1,Comparison between MRP and other estimates,,1,6,sample size,performance criteria,dot plot,performance criteria,small area,NA,estimation methods,with shape,1,0,1,1,0,1,0,1,0,0,0
Downes; Karlin,2020,Multilevel regression and poststratification for estimating population quantities from large health studies: a simulation study based on US population structure,Figure 2,Comparsion between two MRP model,,1,3,NA,performance criteria,dot plot,performance criteria,small area,estimation methods,NA,with shape,1,0,1,1,0,0,0,0,1,0,0
Downes; Karlin,2020,Multilevel regression and poststratification for estimating population quantities from large health studies: a simulation study based on US population structure,Figure 3,Comparison between two MRP model,,1,6,sample size,performance criteria,dot plot,performance criteria,small area,estimation methods,NA,with shape,1,0,1,1,0,0,0,0,1,0,0
"Allan, et al",2020,Geographic Distributions of Extreme Weather Risk Perceptions in the United States,Figure 1,Comparison between MRP and direct estimate,,0,16,estimation methods,case,choropleth map,NA,NA,estimates,NA,* could be useful to demonstrate the interpretation can change!,0,0,0,0,0,0,1,0,0,0,0
"Allan, et al",2020,Geographic Distributions of Extreme Weather Risk Perceptions in the United States,Figure 2,Comparison between MRP and other estimates,,1,9,estimation methods,case,scatter plot,truth,estimates,NA,NA,with geom_smooth,0,0,0,0,0,0,0,0,0,1,0
"Allan, et al",2020,Geographic Distributions of Extreme Weather Risk Perceptions in the United States,Figure 3a,Comparison between MRP and direct estimate,,1,8,case,case,scatter plot,estimates,estimates,NA,NA,with geom_smooth,0,1,0,0,1,1,0,0,0,0,0
"Allan, et al",2020,Geographic Distributions of Extreme Weather Risk Perceptions in the United States,Figure 3b,Largest residual of the MRP model,,1,1,NA,NA,bar plot,performance criteria,small area,performance criteria,NA,NA,1,0,0,0,0,0,0,0,0,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 2,Comparison of density spectrum from various MRP predictors,,1,2,estimation methods,NA,density plot,estimates,small area,estimation methods,NA,NA,0,0,0,0,0,0,0,0,1,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 3,Scatter plot of direct estimate vs MRP,,1,1,NA,NA,scatter plot,estimates,estimates,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 4,Comparison of estimates by countries,,1,11,small area,small area,line plot,time,estimates,estimation methods,NA,NA,0,0,0,0,0,1,1,0,1,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 5,Display of the MRP the result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 6,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 7,Comparison of MRP with other methods,,1,1,NA,NA,boxplot,estimates,NA,estimation methods,small area,NA,0,0,0,0,0,0,0,0,0,0,1
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 8,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Barrington-Leigh; Millard-Ball,2017,The world's user-generated road map is more than 80% complete,Figure 9,Comparisom of the MRP vs Truth,,1,1,NA,NA,scatter plot,truth,estimates,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0
"Berry, et al",2015,Assessing the Validity of Enns and Koch's Measure of State Policy Mood,Figure in notes #12,Comparison of MRP and other estimate,,1,1,NA,NA,line plot,time,performance criteria,NA,NA,performance criteria is correlation,0,0,0,0,1,0,0,0,0,1,0
Bisbee,2019,BARP: Improving Mister P Using Bayesian Additive Regression Trees,Figure 1,Comparison between MRP and BARP,,1,2,performance criteria,NA,scatter plot,estimates,estimates,NA,NA,NA,0,1,0,0,1,1,1,1,1,0,1
Bisbee,2019,BARP: Improving Mister P Using Bayesian Additive Regression Trees,Figure 2,Comparison between MRP and BARP,,1,2,performance criteria,NA,scatter plot,estimates,estimates,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,1
Bisbee,2019,BARP: Improving Mister P Using Bayesian Additive Regression Trees,Figure 3,Comparison between MRP and BARP,,1,1,NA,NA,scatter plot,estimates,estimates,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1
Bishin; Smith,2013,When Do Legislators Defy Popular Sovereignty? Testing Theories of Minority Representation Using DOMA,Figure 1,Display of MRP result,,0,4,small area,small area,line and dot plot,small area,estimates,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Buttice; Highton,2013,How Does Multilevel Regression and Poststratification Perform with Conventional National Surveys?,Figure 1,Correlation between MRP and true value,,1,1,NA,NA,dot plot ,performance criteria,case,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0
Buttice; Highton,2013,How Does Multilevel Regression and Poststratification Perform with Conventional National Surveys?,Figure 2,Standardized bias of MRP,,1,1,NA,NA,dot plot ,performance criteria,case,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0
Buttice; Highton,2013,How Does Multilevel Regression and Poststratification Perform with Conventional National Surveys?,Figure 3,Absolute standardized bias of MRP,,1,1,NA,NA,dot plot ,performance criteria,case,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0
Buttice; Highton,2013,How Does Multilevel Regression and Poststratification Perform with Conventional National Surveys?,Figure 4,Standardized MAE of MRP,,1,1,NA,NA,dot plot ,performance criteria,case,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0
Buttice; Highton,2013,How Does Multilevel Regression and Poststratification Perform with Conventional National Surveys?,Figure 5,Summary of performance of MRP,,1,9,small area,performance criteria,scatter plot,small area,performance criteria,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0
Cifti;Robbins;Zaytseva,2020,"Devotion at Sub-National Level: Ramadan, Nighttime Lights, and Religiosity in the Egyptian Governorates",Figure 2,Correlation between MRP and other estimate,,1,1,NA,NA,scatter plot,estimates,estimates,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0
Cifti;Robbins;Zaytseva,2020,"Devotion at Sub-National Level: Ramadan, Nighttime Lights, and Religiosity in the Egyptian Governorates",Figure 6,MRP estimates display,,0,1,NA,NA,scatter plot,small area,estimates,NA,NA,using continous variable estimated from night time light (the x axis),0,0,0,0,0,0,0,0,0,0,0
Claassen_Traunmuller,2020,Improving and Validating Survey Estimates of Religious Demography Using Bayesian Multilevel Models and Poststratification,Figure 1,Comparison of MRP and other method and direct estimates,,1,6,performance criteria,estimation methods,dot plot ,estimates,estimation methods,estimation methods,estimation methods,using 80% coverage interval also for performance criteria,0,1,0,0,0,1,0,0,1,0,1
Claassen_Traunmuller,2020,Improving and Validating Survey Estimates of Religious Demography Using Bayesian Multilevel Models and Poststratification,Figure 2,"Comparison between MRP and ""true"" estimates",,1,4,small area,small area,bar & dot plot with error bar,estimates,small area,NA,estimation methods,NA,0,0,0,0,0,0,1,0,0,0,0
Claassen_Traunmuller,2020,Improving and Validating Survey Estimates of Religious Demography Using Bayesian Multilevel Models and Poststratification,Figure 3,"Comparison between MRP and ""true"" estimates",,1,4,small area,small area,bar & dot plot with error bar,estimates,small area,NA,estimation methods,NA,0,0,0,0,0,0,1,0,0,0,0
Claassen_Traunmuller,2020,Improving and Validating Survey Estimates of Religious Demography Using Bayesian Multilevel Models and Poststratification,Figure 4,"Comparison between MRP and ""true"" estimates",,1,4,small area,small area,bar & dot plot with error bar,estimates,small area,NA,estimation methods,NA,0,0,0,0,0,0,1,0,0,0,0
Claassen_Traunmuller,2020,Improving and Validating Survey Estimates of Religious Demography Using Bayesian Multilevel Models and Poststratification,Figure 5,Comparison between MRP and direct and true estimates,,1,3,estimation methods,NA,line plot,time,estimates,estimation methods,NA,NA,0,0,0,0,0,1,1,0,0,0,0
Curiel_et_al,2019,Referendum opposition to fluoridation and health literacy: a cross-sectional analysis conducted in three large US Cities,Figure 1,Relationship between MRP estimates and other variable,,0,1,NA,NA,scatter plot,estimates,small area,small area,small area,NA,0,0,0,0,0,0,0,0,0,0,0
Curiel_et_al,2019,Referendum opposition to fluoridation and health literacy: a cross-sectional analysis conducted in three large US Cities,Figure 2,Relationship between MRP estimates and other variable,,0,1,NA,NA,line plot,estimates,small area,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Downes;Carlin,2019,Multilevel regression and poststratification as a modeling approach for estimating population quantities in large population health studies: A simulation study,Figure 1,Comparison between MRP and other estimation methods,,1,3,NA,sample size,dot plot with error bar,small area,performance criteria,NA,estimation methods,estimated bias +- SE,1,0,0,0,0,1,0,1,1,0,0
Downes;Carlin,2019,Multilevel regression and poststratification as a modeling approach for estimating population quantities in large population health studies: A simulation study,Figure 2,Comparison between MRP and other estimation methods,,1,1,NA,NA,dot plot with error bar,small area,performance criteria,NA,estimation methods,estimated bias +- SE,1,0,0,0,0,0,0,0,1,0,0
Downes;Carlin,2019,Multilevel regression and poststratification as a modeling approach for estimating population quantities in large population health studies: A simulation study,Figure 3,Comparison between MRP and other estimation methods,,1,4,sample size,simulation scenario,dot plot with error bar,small area,performance criteria,NA,estimation methods,estimated bias +- SE,1,0,0,0,0,1,0,1,1,0,0
Downes;Carlin,2019,Multilevel regression and poststratification as a modeling approach for estimating population quantities in large population health studies: A simulation study,Figure 4,Comparison between MRP and other estimation methods,,1,4,sample size,simulation scenario,dot plot with error bar,small area,performance criteria,NA,estimation methods,estimated bias +- SE,1,0,0,0,0,1,0,1,1,0,0
Downes;Carlin,2019,Multilevel Regression and Poststratification Versus Survey Sample Weighting for Estimating Population Quantities in Large Population Health Studies,Figure 1,Comparison between MRP and other estimation methods,,1,1,NA,NA,dot plot with error bar,small area,estimates,estimation methods,estimation methods,NA,0,0,0,0,0,1,1,1,0,0,0
Downes;Carlin,2019,Multilevel Regression and Poststratification Versus Survey Sample Weighting for Estimating Population Quantities in Large Population Health Studies,Figure 2,Comparison between MRP and other estimation methods,,1,1,NA,NA,dot plot with error bar,small area,estimates,estimation methods,estimation methods,NA,0,0,0,0,0,1,1,1,0,0,0
Downes_et_al,2017,Multilevel Regression and Poststratification: A Modeling Approach to Estimating Population Quantities From Highly Selected Survey Samples,Figure 2,Comparison between MRP and other estimation methods,,1,3,NA,case,dot plot with error bar,time,estimates,NA,estimation methods,NA,0,0,0,0,0,1,0,1,0,0,0
Eberth_et_al,2018,Estimating county-level tobacco use and exposure in South Carolina: a spatial model-based small area estimation approach,Figure 1,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Eberth_et_al,2018,Estimating county-level tobacco use and exposure in South Carolina: a spatial model-based small area estimation approach,Figure 2,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Eberth_et_al,2018,Estimating county-level tobacco use and exposure in South Carolina: a spatial model-based small area estimation approach,Figure 3,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Eke_et_al,2016,Predicting Periodontitis at State and Local Levels in the United States,Figure 1,Display of the MRP result,,0,4,small area,small area,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Eke_et_al,2016,Predicting Periodontitis at State and Local Levels in the United States,Figure 2,Display of the MRP result,,0,4,small area,small area,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Fowler,2016,The states of public opinion on the environment,Figure 1,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Fowler,2016,The states of public opinion on the environment,Figure 2,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Fowler,2016,The states of public opinion on the environment,Figure 3,Display of the MRP result,,0,1,NA,NA,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Fowler,2017,Tracking state trends in environmental public opinion,Figure 2,Display of the MRP result,,0,1,NA,NA,line plot,time,estimates,small area,small area,NA,0,0,0,0,0,0,0,0,0,0,0
Fowler ,2017,Tracking state trends in environmental public opinion,Figure 3,Display of the MRP result,,0,1,NA,NA,line plot,time,estimates,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Fowler,2017,Tracking state trends in environmental public opinion,Figure 4,Correlation between MRP and other estimate,,1,1,NA,NA,scatter plot,truth,estimates,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0
Fowler,2017,Tracking state trends in environmental public opinion,Figure 5,Correlation between MRP and other estimate,,1,1,NA,NA,scatter plot,estimates,estimates,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0
Enns_Koch,2013,Public Opinion in the U.S. States: 1956 to 2010,Figure 1,Comparison between MRP and direct estimate,,1,6,small area,small area,line plot,time,estimates,NA,estimation methods,NA,0,0,0,0,0,1,0,0,0,0,0
